Id,Year,Certificate,Duration (min),Genre,Rating
231,56,10,38,310,43
232,56,20,24,382,43
233,56,24,46,357,59
234,56,24,51,68,50
235,56,20,31,382,36
236,56,21,28,145,61
237,56,20,30,0,28
238,56,7,59,331,52
239,56,10,68,381,50
240,56,10,106,263,60
241,56,24,47,198,51
242,56,21,36,89,62
243,56,10,103,211,67
244,56,10,42,382,32
245,56,10,77,175,63
246,56,19,71,5,49
247,56,21,67,350,60
248,56,7,125,201,53
249,56,20,39,300,44
250,56,24,35,206,49
251,56,24,45,72,47
252,56,10,39,41,56
253,56,10,49,41,64
254,56,10,51,333,57
255,31,24,81,7,63
256,31,17,59,58,47
257,31,10,28,333,57
258,31,19,47,382,37
259,31,20,22,384,46
260,31,21,54,97,67
261,31,20,41,13,30
262,31,24,65,12,61
263,31,24,102,53,66
264,31,10,56,76,48
265,31,21,68,346,67
266,31,10,52,350,15
267,31,4,42,382,60
268,31,20,68,175,47
269,31,24,42,12,55
270,31,24,70,350,60
271,31,21,73,350,60
272,31,20,72,263,50
273,31,10,65,331,55
274,31,19,42,219,13
275,31,10,73,369,55
276,31,10,53,350,53
277,31,10,75,51,63
278,31,26,83,177,62
279,31,21,30,145,52
280,31,21,34,255,72
281,31,10,56,206,56
282,31,21,41,186,58
283,31,24,70,5,51
284,31,10,76,263,64
285,31,10,45,234,54
286,31,20,61,17,63
287,31,20,61,53,57
288,31,10,38,42,60
289,31,24,127,7,57
290,31,20,98,177,66
291,31,10,45,12,63
292,31,21,33,12,42
293,31,7,93,300,61
294,31,24,72,3,54
295,31,24,42,109,40
296,31,21,34,303,54
297,31,10,91,263,64
298,57,10,59,35,59
299,57,10,40,260,58
300,57,26,60,76,47
301,57,19,45,76,46
302,57,10,46,37,54
303,57,27,50,213,26
304,57,10,134,255,72
305,57,10,62,129,52
306,57,24,53,3,53
307,57,24,46,351,65
308,57,20,55,263,51
309,57,10,45,350,52
310,57,24,50,206,49
311,57,24,65,172,55
312,57,24,51,74,45
313,57,19,43,206,47
314,57,21,26,146,67
315,57,10,39,49,65
316,57,10,61,347,45
317,57,19,45,21,37
318,57,24,30,219,57
319,57,21,50,238,53
320,57,19,36,385,29
321,57,21,54,145,54
322,57,24,54,346,61
323,57,19,32,138,37
324,57,10,76,347,64
325,57,24,68,175,60
326,57,20,42,245,43
327,57,24,62,146,58
328,57,24,78,12,56
329,57,24,68,12,33
330,57,19,72,5,53
331,57,24,79,4,40
332,57,21,63,147,68
333,57,10,55,42,58
334,57,21,59,12,56
335,57,24,55,51,63
336,57,20,57,351,53
337,57,21,23,398,47
338,58,24,58,350,49
339,58,24,65,12,42
340,58,24,82,7,49
341,58,7,97,347,57
342,58,21,27,88,63
343,58,20,56,4,49
344,58,18,29,145,42
345,58,24,51,392,66
346,58,19,73,323,57
347,58,24,84,300,63
348,58,10,68,255,68
349,58,10,55,300,50
350,58,24,42,187,64
351,58,10,70,3,54
352,58,19,30,250,52
353,58,24,92,12,47
354,58,24,66,371,56
355,58,24,82,12,52
356,58,10,146,255,65
357,58,20,82,84,60
358,58,10,108,255,65
359,58,20,51,177,47
360,58,24,65,175,60
361,58,10,81,350,54
362,58,20,22,31,37
363,58,10,65,300,54
364,58,10,75,12,68
365,58,10,66,263,45
366,58,24,59,41,49
367,58,10,62,130,63
368,58,7,54,21,56
369,58,24,35,228,54
370,58,7,47,310,56
371,58,20,44,382,45
372,58,3,50,313,54
373,58,10,43,21,56
374,58,7,69,332,50
375,58,24,64,7,51
376,58,25,42,245,46
377,58,10,84,328,66
378,58,3,88,177,67
379,58,10,43,350,35
380,58,10,57,245,53
381,20,10,53,382,47
382,20,10,70,76,64
383,20,24,82,110,62
384,20,21,41,198,64
385,20,10,73,206,58
386,20,10,55,300,40
387,20,10,72,350,59
388,20,20,56,382,48
389,20,7,33,186,52
390,20,24,59,3,62
391,20,10,52,255,64
392,20,10,62,353,49
393,20,7,45,359,53
394,20,24,69,72,59
395,20,21,91,362,59
396,20,19,54,9,32
397,20,10,68,168,60
398,20,24,77,10,48
399,20,19,43,7,37
400,20,10,40,186,42
401,20,20,35,35,28
402,20,20,39,263,45
403,20,10,54,21,37
404,20,24,56,3,44
405,20,24,61,12,46
406,20,21,73,116,54
407,20,20,23,255,37
408,20,10,46,359,62
409,20,4,69,13,45
410,20,20,75,5,52
411,20,24,35,198,60
412,20,20,54,7,52
413,20,10,45,347,64
414,20,24,95,116,59
415,20,24,78,35,64
416,20,20,51,347,46
417,20,24,85,347,61
418,20,10,74,278,65
419,20,24,70,12,61
420,20,21,26,186,59
421,20,20,57,255,67
422,20,24,43,178,57
423,20,10,55,382,63
424,20,20,52,398,51
425,20,10,60,88,61
426,20,10,71,300,69
427,41,10,83,353,63
428,41,17,55,300,51
429,41,24,57,3,52
430,41,10,39,74,48
431,41,10,90,45,56
432,41,10,34,300,52
433,41,24,73,12,51
434,41,24,68,168,64
435,41,24,87,12,66
436,41,19,69,170,58
437,41,24,51,346,62
438,41,21,74,10,65
439,41,11,75,350,50
440,41,24,73,179,64
441,41,26,77,188,53
442,41,21,45,12,44
443,41,10,67,3,59
444,41,21,30,138,58
445,41,20,117,255,61
446,41,24,68,188,61
447,41,24,48,21,45
448,41,7,69,348,65
449,41,19,65,359,60
450,41,20,30,310,52
451,41,10,86,35,40
452,41,21,33,145,63
453,41,10,99,114,70
454,41,5,57,41,53
455,41,24,120,50,44
456,41,10,50,382,57
457,41,20,44,228,47
458,41,21,87,133,65
459,41,10,51,186,58
460,41,24,38,186,59
461,41,24,68,116,63
462,41,20,63,359,43
463,41,21,49,145,63
464,41,10,32,198,56
465,41,24,88,74,55
466,41,10,80,360,66
467,41,21,66,208,55
468,41,17,32,246,48
469,41,24,40,198,59
470,41,10,42,12,48
471,41,21,45,145,58
472,41,19,56,20,45
473,41,21,41,186,60
474,41,24,42,89,53
475,41,20,56,369,43
476,25,19,31,76,19
477,25,10,60,384,46
478,25,20,58,168,56
479,25,21,56,146,50
480,25,21,65,104,49
481,25,25,62,206,49
482,25,10,60,382,47
483,25,24,33,206,59
484,25,24,64,12,61
485,25,20,30,384,40
486,25,10,96,341,57
487,25,24,36,3,55
488,25,24,61,7,41
489,25,24,82,12,51
490,25,19,35,20,58
491,25,24,40,40,58
492,25,24,107,121,60
493,25,10,48,187,52
494,25,20,31,86,45
495,25,3,62,12,51
496,25,10,59,60,52
497,25,24,100,7,61
498,25,10,47,206,49
499,25,24,54,279,59
500,25,10,77,5,60
501,25,20,35,350,54
502,25,24,67,7,47
503,25,10,117,350,59
504,25,10,60,41,55
505,25,24,59,8,49
506,25,21,42,253,47
507,25,21,80,116,61
508,25,10,46,313,49
509,25,10,94,5,62
510,25,19,42,208,47
511,25,7,76,207,54
512,25,10,28,41,59
513,25,20,57,45,64
514,25,17,58,46,50
515,25,18,37,138,54
516,25,21,48,145,55
517,25,24,81,72,62
518,25,24,104,76,44
519,25,21,54,206,68
520,58,7,53,107,50
521,58,10,46,206,50
522,58,24,72,177,61
523,58,24,97,177,55
524,58,10,79,170,63
525,58,17,35,263,55
526,58,19,41,260,47
527,58,10,37,128,54
528,58,10,48,300,47
529,58,10,29,79,51
530,58,21,46,138,62
531,58,10,59,177,55
532,58,20,28,300,54
533,58,10,47,382,67
534,58,10,33,25,51
535,58,10,75,41,62
536,58,10,45,9,60
537,58,10,90,310,49
538,58,24,54,1,45
539,58,21,35,245,51
540,58,24,28,198,53
541,58,10,34,186,49
542,58,20,59,255,60
543,58,24,61,3,49
544,58,24,56,7,49
545,58,10,39,186,36
546,58,24,34,97,53
547,58,7,65,300,52
548,58,19,42,382,29
549,58,2,50,303,46
550,58,20,27,186,58
551,58,19,31,138,45
552,58,21,40,138,60
553,58,10,29,300,52
554,58,7,41,334,47
555,58,10,65,347,53
556,58,20,41,35,46
557,58,10,46,354,56
558,58,21,40,153,54
559,58,10,115,255,64
560,58,20,31,66,13
561,58,10,34,377,47
562,58,10,60,377,63
563,58,10,53,1,66
564,58,24,84,12,57
565,58,4,55,194,50
566,46,10,45,21,52
567,46,7,66,35,55
568,46,20,40,300,58
569,46,21,38,338,53
570,46,4,37,279,65
571,46,24,64,198,57
572,46,24,72,74,56
573,46,10,35,333,54
574,46,10,64,351,62
575,46,21,44,7,36
576,46,24,44,45,60
577,46,9,53,300,65
578,46,5,40,228,35
579,46,10,49,380,56
580,46,20,45,32,53
581,46,21,53,120,61
582,46,24,54,362,65
583,46,24,51,12,61
584,46,24,50,5,59
585,46,24,24,219,51
586,46,21,55,138,66
587,46,19,36,247,43
588,46,25,48,139,56
589,46,24,60,12,52
590,46,24,94,175,64
591,46,10,53,263,37
592,46,24,123,11,54
593,46,24,74,12,51
594,46,24,55,21,58
595,46,10,30,35,56
596,46,10,47,381,64
597,46,24,52,182,62
598,46,26,63,186,50
599,46,21,34,245,47
600,46,21,99,116,56
601,46,10,36,279,63
602,46,10,78,267,55
603,46,10,45,206,51
604,46,10,72,54,58
605,46,10,52,198,59
606,46,10,37,377,52
607,46,10,52,382,45
608,46,21,76,359,59
609,30,24,55,24,50
610,30,24,54,351,52
611,30,10,82,312,57
612,30,21,44,159,66
613,30,10,57,245,53
614,30,21,39,145,52
615,30,10,55,300,59
616,30,21,63,198,53
617,30,10,33,125,40
618,30,10,46,240,47
619,30,21,43,146,66
620,30,10,52,31,45
621,30,10,47,187,40
622,30,21,53,216,46
623,30,24,89,12,49
624,30,10,31,300,63
625,30,5,38,9,53
626,30,24,66,12,43
627,30,21,31,145,55
628,30,20,49,377,30
629,30,5,61,200,60
630,30,3,57,51,42
631,30,21,57,147,64
632,30,23,54,3,40
633,30,24,68,53,40
634,30,24,56,206,38
635,30,21,38,145,64
636,30,21,30,145,63
637,30,20,55,186,51
638,30,10,57,264,61
639,30,2,98,175,65
640,30,24,83,12,52
641,30,24,58,172,60
642,30,21,40,116,63
643,30,20,48,76,33
644,30,24,68,105,48
645,30,9,60,3,47
646,30,10,90,310,55
647,30,10,32,65,54
648,30,21,50,24,58
649,30,24,92,42,60
650,30,24,94,262,53
651,30,20,61,255,47
652,30,24,72,12,49
653,30,21,54,198,37
654,30,21,58,358,63
655,30,24,48,350,56
656,39,7,67,263,58
657,39,18,34,186,52
658,39,10,19,156,62
659,39,10,65,53,52
660,39,24,81,12,53
661,39,3,32,231,44
662,39,20,46,20,37
663,39,20,43,168,51
664,39,21,37,3,47
665,39,20,38,69,49
666,39,24,45,186,55
667,39,10,51,12,57
668,39,21,78,108,57
669,39,3,76,5,48
670,39,17,31,25,45
671,39,21,19,145,65
672,39,21,36,250,54
673,39,10,40,206,53
674,39,21,40,354,67
675,39,4,38,300,50
676,39,24,47,74,49
677,39,24,62,12,51
678,39,24,53,276,54
679,39,21,38,89,60
680,39,10,44,41,50
681,39,20,58,172,56
682,39,10,34,206,53
683,39,21,39,21,51
684,39,7,76,377,43
685,39,24,61,345,60
686,39,5,58,21,47
687,39,10,62,279,62
688,39,21,81,116,51
689,39,21,53,89,49
690,39,24,70,7,42
691,39,10,37,279,31
692,39,24,69,263,63
693,39,24,37,87,63
694,39,24,52,325,57
695,39,24,67,116,53
696,39,21,32,124,45
697,39,10,82,45,59
698,39,24,84,35,59
699,39,21,54,186,57
700,39,10,96,300,64
701,57,7,78,175,55
702,57,10,22,385,43
703,57,24,50,198,67
704,57,20,50,186,51
705,57,10,45,9,35
706,57,10,94,320,35
707,57,20,27,263,10
708,57,20,26,385,37
709,57,20,77,263,47
710,57,10,27,74,46
711,57,7,73,267,56
712,57,10,78,105,55
713,57,21,26,145,47
714,57,5,139,170,60
715,57,21,110,112,64
716,57,21,65,1,64
717,57,24,36,213,52
718,57,17,39,116,55
719,57,20,67,364,51
720,57,20,64,267,42
721,57,20,61,310,57
722,57,21,46,153,53
723,57,10,30,377,26
724,57,10,41,21,47
725,57,7,57,168,57
726,57,24,81,12,45
727,57,24,54,9,52
728,57,24,50,238,43
729,57,21,39,199,60
730,57,4,51,35,58
731,57,10,131,84,61
732,57,10,74,338,58
733,57,24,124,300,62
734,57,21,36,72,45
735,57,20,66,279,55
736,57,24,41,300,61
737,57,24,46,210,61
738,57,4,26,186,45
739,57,21,40,145,56
740,57,20,28,66,47
741,57,17,45,175,36
742,57,21,71,12,56
743,57,20,55,271,42
744,57,10,67,7,51
745,50,24,70,51,64
746,50,24,82,13,62
747,50,24,96,12,40
748,50,21,71,181,58
749,50,21,62,12,47
750,50,21,53,138,62
751,50,24,64,72,49
752,50,24,84,116,59
753,50,19,40,206,50
754,50,19,32,362,59
755,50,10,45,21,63
756,50,10,54,331,52
757,50,20,46,263,48
758,50,20,44,186,45
759,50,21,34,145,65
760,50,21,66,89,51
761,50,20,65,18,59
762,50,21,94,245,61
763,50,24,65,341,58
764,50,10,54,13,55
765,50,21,38,145,59
766,50,21,64,43,55
767,50,10,41,382,58
768,50,7,43,263,54
769,50,20,46,331,45
770,50,3,40,267,58
771,50,24,50,3,43
772,50,24,67,347,59
773,50,10,116,202,49
774,50,19,32,338,44
775,50,10,31,253,59
776,50,7,30,186,48
777,50,10,46,347,52
778,50,21,48,198,56
779,50,10,66,389,65
780,50,21,42,200,55
781,50,3,21,67,32
782,50,10,32,264,53
783,50,19,61,235,47
784,50,24,54,245,40
785,50,24,54,12,47
786,24,7,50,350,55
787,24,24,65,313,53
788,24,21,60,245,65
789,24,10,115,313,54
790,24,24,77,12,45
791,24,7,148,7,61
792,24,10,68,7,46
793,24,7,65,12,42
794,24,21,36,147,66
795,24,24,91,6,58
796,24,21,66,88,48
797,24,10,85,267,58
798,24,21,43,104,51
799,24,21,45,338,48
800,24,10,44,186,62
801,24,20,45,263,59
802,24,10,71,35,55
803,24,24,49,245,43
804,24,21,51,302,61
805,24,20,50,347,57
806,24,21,86,84,63
807,24,20,54,175,51
808,24,2,89,7,56
809,24,20,40,187,54
810,24,24,72,12,55
811,24,10,55,5,51
812,24,24,30,250,49
813,24,21,147,354,64
814,24,24,94,7,45
815,24,10,100,255,58
816,24,11,75,350,57
817,24,5,46,35,41
818,24,10,42,221,48
819,24,21,50,392,67
820,24,21,75,53,48
821,24,10,75,328,62
822,24,10,95,170,60
823,24,21,110,173,63
824,24,21,65,116,58
825,24,24,57,69,60
826,24,20,63,380,47
827,24,24,57,7,45
828,24,10,44,300,59
829,24,24,68,69,52
830,24,10,100,354,56
831,46,19,43,385,35
832,46,7,51,385,37
833,46,24,55,245,46
834,46,21,41,212,59
835,46,21,74,177,60
836,46,21,80,89,50
837,46,20,27,267,55
838,46,24,62,12,52
839,46,10,52,167,53
840,46,10,54,382,50
841,46,24,75,300,60
842,46,24,60,12,55
843,46,10,69,172,56
844,46,10,31,186,47
845,46,10,29,369,35
846,46,5,28,392,49
847,46,20,38,383,51
848,46,24,45,397,54
849,46,21,42,94,49
850,46,10,105,255,57
851,46,10,26,41,51
852,46,10,57,21,50
853,46,10,29,377,56
854,46,7,27,186,40
855,46,26,55,208,55
856,46,24,44,346,55
857,46,19,63,358,45
858,46,24,95,263,59
859,46,17,55,88,52
860,46,7,42,198,55
861,46,20,32,267,35
862,46,7,67,245,51
863,46,10,47,186,56
864,46,21,62,206,54
865,46,24,58,362,63
866,46,24,79,12,55
867,46,10,53,188,63
868,46,24,59,198,53
869,46,10,70,170,51
870,46,7,35,51,56
871,46,10,66,300,33
872,46,10,86,54,60
873,46,24,35,350,50
874,46,10,76,72,54
875,46,10,68,364,64
876,55,10,40,228,37
877,55,21,104,364,67
878,55,17,45,392,59
879,55,24,81,13,60
880,55,10,58,263,59
881,55,21,63,12,50
882,55,24,51,12,39
883,55,10,56,66,58
884,55,24,58,187,58
885,55,24,76,6,57
886,55,10,110,346,56
887,55,21,33,145,58
888,55,24,80,116,44
889,55,20,66,206,59
890,55,10,71,354,57
891,55,24,60,7,50
892,55,24,47,21,54
893,55,24,70,7,56
894,55,19,27,97,43
895,55,3,64,384,53
896,55,10,33,382,52
897,55,24,83,206,39
898,55,18,40,97,56
899,55,19,57,12,60
900,55,24,68,3,61
901,55,24,68,6,34
902,55,24,41,382,50
903,55,24,78,52,63
904,55,19,79,340,51
905,55,17,72,87,55
906,55,24,81,41,34
907,55,18,36,148,41
908,55,10,63,267,57
909,55,7,32,382,45
910,55,10,79,31,55
911,55,17,41,187,54
912,55,21,26,72,43
913,55,17,31,350,29
914,55,19,72,355,49
915,55,24,28,245,42
916,55,3,56,198,55
917,55,21,27,89,35
918,55,21,31,198,46
919,55,24,86,13,50
920,55,10,60,41,56
921,52,21,65,12,57
922,52,3,28,206,47
923,52,21,51,168,60
924,52,10,71,17,55
925,52,21,64,1,57
926,52,21,38,186,53
927,52,24,66,12,44
928,52,10,120,362,63
929,52,3,56,31,45
930,52,10,33,252,66
931,52,10,60,206,59
932,52,17,47,235,54
933,52,10,62,53,53
934,52,3,54,359,57
935,52,10,61,313,55
936,52,24,36,186,51
937,52,21,56,116,41
938,52,10,66,13,58
939,52,24,58,51,44
940,52,24,92,12,34
941,52,22,85,13,59
942,52,24,71,53,35
943,52,24,58,206,51
944,52,21,78,106,59
945,52,24,85,72,60
946,52,10,30,7,37
947,52,10,38,382,43
948,52,10,50,255,60
949,52,20,57,53,43
950,52,21,46,116,46
951,52,21,45,250,54
952,52,24,66,7,43
953,52,20,36,41,34
954,52,24,39,198,60
955,52,24,62,345,58
956,52,10,36,380,56
957,52,3,49,358,56
958,52,20,28,5,28
959,52,21,36,138,63
960,52,4,39,300,58
961,52,20,35,263,49
962,52,10,60,267,59
963,52,10,55,267,60
964,52,10,105,320,37
965,52,21,70,11,52
966,52,24,60,138,58
967,17,24,65,263,45
968,17,20,26,382,41
969,17,7,36,347,44
970,17,10,41,385,43
971,17,17,35,359,44
972,17,10,72,206,44
973,17,19,45,206,47
974,17,21,24,145,51
975,17,24,58,7,52
976,17,20,35,385,46
977,17,20,59,267,55
978,17,24,57,76,46
979,17,10,21,377,56
980,17,21,83,300,63
981,17,7,52,385,49
982,17,21,34,3,52
983,17,24,68,347,63
984,17,24,68,12,53
985,17,20,46,170,51
986,17,5,39,350,63
987,17,20,40,206,42
988,17,24,89,7,36
989,17,20,26,3,40
990,17,24,43,360,53
991,17,10,48,382,50
992,17,24,81,7,50
993,17,21,31,72,36
994,17,10,45,359,60
995,17,17,33,350,52
996,17,10,49,300,56
997,17,24,50,219,45
998,17,24,31,41,57
999,17,24,52,12,48
1000,17,24,74,3,58
1001,17,24,57,245,52
1002,17,10,79,3,49
1003,17,10,44,206,62
1004,17,24,51,357,58
1005,17,10,39,62,55
1006,17,24,62,3,43
1007,17,10,95,325,56
1008,17,24,52,263,47
