Poster,Title,Year,Certificate,Duration (min),Genre,Rating,Metascore,Director,Cast,Votes,Description,Review Count,Review Title,Review
687,4734,36,22,86,34,68,77,447,1093,1888,6250,906,2044,5921
4926,3007,36,16,17,136,45,49,239,2151,2552,575,282,1036,1326
3884,2032,36,19,86,111,54,58,407,1365,5926,2904,227,5883,1863
4148,5523,36,24,73,255,52,69,171,4058,2472,4090,990,1881,6106
1785,4604,36,10,37,366,47,58,2235,4041,1815,2365,74,2783,3244
1084,1858,36,22,58,86,48,38,1082,874,2141,6118,199,4680,2856
6394,1856,36,22,39,23,56,64,1000,594,4183,5609,913,639,6043
1064,2674,36,18,72,333,43,61,2200,3252,1831,585,149,5775,6012
6381,1937,36,22,44,229,50,63,2024,3084,3087,3764,727,2274,1539
3938,5166,36,19,127,5,68,87,1967,1722,85,3746,561,3662,4421
1880,4918,36,17,37,7,37,35,2605,4069,1094,4083,736,329,662
4601,5113,36,18,24,267,48,65,773,2889,1849,6319,349,1808,5340
2503,3257,36,10,37,234,42,52,837,2750,1351,4630,749,3898,3849
4624,5001,36,17,91,5,45,47,774,4879,578,3315,877,679,2008
4075,705,36,22,51,234,43,24,779,59,1064,2282,516,701,4869
3019,3927,36,10,125,164,68,88,2376,3787,60,3970,244,5186,717
2287,3321,36,22,42,317,36,48,1558,1994,1348,1840,246,5745,3277
4537,5253,36,10,58,7,49,41,2344,714,4240,3070,50,2128,1483
4024,5217,36,10,70,68,65,66,1473,3798,1848,6033,682,4932,4977
3549,1728,36,22,76,336,66,75,2127,5970,1859,5256,414,3246,6068
2659,3582,36,18,34,230,23,22,419,1056,3155,3337,795,1446,3940
95,4281,36,22,76,7,44,47,851,2224,5616,5058,548,2716,1977
5460,4597,36,18,50,243,53,66,1108,2923,40,2293,795,1009,5759
4939,2103,36,18,49,19,54,75,2063,2110,52,1351,795,3259,1494
2248,5630,36,10,113,156,60,68,1637,3733,71,3138,165,4920,3755
3535,4293,36,10,63,12,51,45,1935,893,3236,3838,36,1232,5574
3487,4118,36,18,44,264,38,36,16,5226,4939,2820,600,1573,1384
6129,768,36,18,25,175,45,67,717,4872,3970,5872,310,3353,4198
1648,5818,36,22,97,98,51,49,2594,671,4792,2686,183,4114,1886
33,4566,36,22,109,34,56,65,1654,5093,5673,6111,907,5093,1133
3931,697,36,22,98,47,58,74,627,2205,5248,6383,379,647,854
2623,4436,36,18,29,369,49,69,536,4310,1086,6066,852,3820,4661
4899,1421,36,19,71,12,41,34,581,3657,1638,91,1134,5832,5729
5467,1222,36,18,42,19,58,58,2452,5272,23,1926,123,1685,2350
1901,4997,40,22,76,12,50,61,824,2758,0,4364,161,712,3628
5639,1390,40,18,36,189,47,67,1459,3799,4810,2894,465,4181,4832
4413,267,40,18,51,367,63,82,2077,5571,6218,5198,151,5030,773
5760,318,40,18,51,187,53,74,475,2720,5687,1245,480,4916,8
4940,2203,40,18,27,369,32,51,343,2664,1868,4196,455,3708,4030
655,2839,40,19,22,12,46,66,853,4160,2228,4053,634,3321,3722
3602,4500,40,22,50,234,49,66,1355,5643,4247,3760,834,732,3518
515,2549,40,10,78,5,51,56,2077,4637,3169,3096,1131,6087,2332
2540,1647,40,10,73,286,66,60,563,670,1861,2861,565,724,1159
1031,4928,40,22,120,245,64,54,780,5968,56,1701,241,2045,4720
4382,4722,40,10,36,34,53,64,76,697,1970,1020,917,5044,4915
6137,1451,40,18,31,333,38,65,2586,5824,376,1980,951,833,4263
3027,2952,40,17,46,228,35,51,2212,442,2744,3234,507,3679,4923
234,4283,40,22,75,7,42,46,1007,1287,4400,5487,903,3461,5450
5473,3040,40,22,97,13,55,74,445,5911,2496,3515,33,3414,3734
5583,874,40,17,76,161,54,44,66,1265,3791,2551,614,2535,3818
4506,3039,40,19,44,13,50,52,304,5919,4283,2611,761,1515,1476
2932,6095,40,18,34,177,48,51,2430,2851,593,6217,1159,5092,6208
723,1223,40,18,53,3,54,59,577,5268,5168,3668,96,4773,586
1557,4105,40,19,27,234,48,54,1243,4397,739,732,437,3496,1324
4688,3462,40,22,39,336,57,87,376,2139,535,4587,613,2682,2432
3281,376,40,10,129,34,40,26,2219,4906,6080,5252,46,4629,4277
4536,2315,40,10,87,108,62,62,2007,669,72,3985,186,1330,3262
3463,4282,40,19,74,7,54,61,851,2225,5894,5627,399,3311,6056
4783,4285,40,19,65,7,61,51,2065,3959,20,2483,1038,4812,360
4551,3781,40,18,47,175,40,37,1961,6317,3913,6266,326,2102,5697
5407,4284,40,22,58,7,65,75,995,3959,50,2506,73,3050,6366
1780,2265,40,18,18,93,43,59,1777,3877,1662,3317,918,5222,5105
5894,3481,40,18,37,320,48,69,2440,4213,6271,3874,617,5379,88
5183,1876,40,10,66,345,63,90,281,5603,6247,3766,545,3819,1652
115,2443,40,10,103,40,55,71,377,3424,3330,4334,115,5702,3177
5914,4242,40,22,51,369,51,56,1558,2509,4716,5594,1122,493,415
5762,1732,40,18,40,220,21,32,730,4432,24,1581,784,1382,3927
6058,3186,40,18,92,2,42,57,2077,2921,1031,2802,41,3502,4355
5033,1544,40,10,73,3,56,74,522,1370,4629,1110,552,6066,4255
4253,5939,40,22,65,7,39,28,2344,2305,2864,5234,110,1789,1175
5803,5167,40,22,112,5,66,80,1967,1720,79,6285,397,887,4214
3697,5464,40,10,52,255,64,79,1305,2925,68,2031,144,68,3044
2745,3000,40,10,82,317,49,65,183,1938,3882,393,554,3639,3608
2679,4228,40,19,74,131,64,79,1179,3465,3604,4506,86,3768,3418
2798,415,40,17,58,7,34,35,1057,2618,5888,3186,588,3010,633
3096,5798,29,10,81,187,51,56,2173,5806,1574,595,737,1286,5777
2106,3823,29,22,67,12,56,58,812,1924,5313,4063,128,2657,3763
3329,316,29,22,56,286,61,77,2205,3542,36,1536,416,896,5194
4482,4286,29,19,72,12,56,73,1007,1288,6272,3015,412,4548,1423
1119,1879,29,22,63,319,44,36,1558,2510,2771,4855,209,2187,5296
4517,1921,29,19,60,336,61,64,927,5134,10,6331,1179,651,4628
2020,1646,29,0,59,339,20,39,2208,1295,3334,4420,92,3506,1847
3672,2737,29,17,35,221,39,40,2620,3388,1144,347,307,2827,3419
4858,737,29,17,41,166,41,36,2037,3571,2274,5442,459,1760,307
6401,5157,29,16,46,310,45,58,1368,2669,6318,3904,327,5198,1553
2610,5,29,19,31,195,51,63,873,2233,3701,879,956,2621,2599
3395,4909,29,19,48,85,55,55,2052,5436,2971,831,849,134,3537
6366,5593,29,10,50,331,39,47,1735,5719,3219,4706,512,5823,1755
4487,2483,29,22,81,12,34,31,469,1062,1985,3698,391,149,5469
